Match_ID,Home_Team_Score,Away_Team_Score,Accuracy_Status
M-2010-45,0,3,Accurate
M-2010-46,0,0,Accurate
M-2010-47,1,2,Accurate
M-2010-48,0,0,Accurate
M-2010-49,2,1,Accurate
M-2010-50,1,2,Accurate
M-2010-51,4,1,Accurate
M-2010-52,3,1,Accurate
M-2010-53,2,1,Accurate
M-2010-54,3,0,Accurate
M-2010-55,0,0,Accurate
M-2010-56,1,0,Accurate
M-2010-57,2,1,Accurate
M-2010-58,1,1,Accurate
M-2010-59,0,4,Accurate
M-2010-60,0,1,Accurate
M-2010-61,2,3,Accurate
M-2010-62,0,1,Accurate
M-2010-63,2,3,Accurate
M-2010-64,0,1,Accurate
M-2014-01,3,1,Accurate
M-2014-02,1,0,Accurate
M-2014-03,1,5,Accurate
M-2014-04,3,1,Accurate
M-2014-05,3,0,Accurate
M-2014-06,1,3,Accurate
M-2014-07,1,2,Accurate
M-2014-08,2,1,Accurate
M-2014-09,2,1,Accurate
M-2014-10,3,0,Accurate
M-2014-11,2,1,Accurate
M-2014-12,4,0,Accurate
M-2014-13,0,0,Accurate
M-2014-14,1,2,Accurate
M-2014-15,2,1,Accurate
M-2014-16,0,0,Accurate
M-2014-17,1,1,Accurate
M-2014-18,2,3,Accurate
M-2014-19,0,2,Accurate
M-2014-20,0,4,Accurate
M-2014-21,2,1,Accurate
M-2014-22,2,1,Accurate
M-2014-23,0,0,Accurate
M-2014-24,0,1,Accurate
M-2014-25,2,5,Accurate
M-2014-26,1,2,Accurate
M-2014-27,1,0,Accurate
M-2014-28,2,2,Accurate
M-2014-29,1,0,Accurate
M-2014-30,1,0,Accurate
M-2014-31,2,4,Accurate
M-2014-32,2,2,Accurate
M-2014-33,0,3,Accurate
M-2014-34,2,0,Accurate
M-2014-35,1,4,Accurate
M-2014-36,1,3,Accurate
M-2014-37,0,0,Accurate
M-2014-38,0,1,Accurate
M-2014-39,1,4,Accurate
M-2014-40,2,1,Accurate
M-2014-41,3,1,Accurate
M-2014-42,2,3,Accurate
M-2014-43,0,3,Accurate
M-2014-44,0,0,Accurate
M-2014-45,2,1,Accurate
M-2014-46,0,1,Accurate
M-2014-47,1,1,Accurate
M-2014-48,0,1,Accurate
M-2014-49,1,1,Accurate
M-2014-50,2,0,Accurate
M-2014-51,2,1,Accurate
M-2014-52,1,1,Accurate
M-2014-53,2,0,Accurate
M-2014-54,2,1,Accurate
M-2014-55,1,0,Accurate
M-2014-56,2,1,Accurate
M-2014-57,0,1,Accurate
M-2014-58,2,1,Accurate
M-2014-59,1,0,Accurate
M-2014-60,0,0,Accurate
M-2014-61,1,7,Inaccurate
M-2014-62,0,0,Accurate
M-2014-63,0,3,Accurate
M-2014-64,1,0,Accurate
M-2018-01,5,0,Accurate
M-2018-02,0,1,Accurate
M-2018-03,0,1,Accurate
M-2018-04,3,3,Accurate
M-2018-05,2,1,Accurate
M-2018-06,1,1,Accurate
M-2018-07,0,1,Accurate
M-2018-08,2,0,Accurate
M-2018-09,0,1,Accurate
M-2018-10,0,1,Accurate
M-2018-11,1,1,Accurate
M-2018-12,1,0,Accurate
M-2018-13,3,0,Accurate
M-2018-14,1,2,Accurate
M-2018-15,1,2,Accurate
M-2018-16,1,2,Accurate
M-2018-17,3,1,Accurate
M-2018-18,1,0,Accurate
M-2018-19,1,0,Accurate
M-2018-20,0,1,Accurate
